,stat
Cluster-93.0,NA
Cluster-125.0,NA
Cluster-281.0,NA
Cluster-308.0,NA
Cluster-404.1,NA
Cluster-489.0,NA
Cluster-533.0,0.147740579
Cluster-534.0,NA
Cluster-632.1,NA
Cluster-632.3,0.278034373
Cluster-2070.0,NA
Cluster-2529.3,0.006391787
Cluster-2536.0,NA
Cluster-2710.1,0.062313721
Cluster-2710.5,0.660262087
Cluster-2720.0,0.171448692
Cluster-2997.1,0.193297658
Cluster-3259.0,0.26203476
Cluster-3259.2,0.101748317
Cluster-3268.1,0.018275707
Cluster-3435.0,NA
Cluster-3988.0,0.895693666
Cluster-4341.0,0.464929358
Cluster-4373.0,1.146400048
Cluster-4925.0,0
Cluster-5384.0,NA
Cluster-5401.0,8.36E-05
Cluster-5567.0,0.021647503
Cluster-5698.0,NA
Cluster-5998.1,0.371678922
Cluster-6121.0,0.072880037
Cluster-6175.1,0.155078139
Cluster-6510.0,0.07285845
Cluster-6731.0,NA
Cluster-6890.0,NA
Cluster-7915.0,NA
Cluster-8081.1,1.686049175
Cluster-8127.0,0.048862156
Cluster-8170.2,0.307498807
Cluster-8579.0,NA
Cluster-8759.0,0.001125192
Cluster-8951.0,0.066270754
Cluster-9282.0,NA
Cluster-9409.2,1.561627911
Cluster-9449.0,NA
Cluster-9608.0,0.568531325
Cluster-10185.0,0.027362508
Cluster-10501.0,0.784436541
Cluster-10726.1,0.367552734
Cluster-10737.0,0.163453045
Cluster-10842.0,0.07285845
Cluster-10892.0,0.557475673
Cluster-10903.0,0.397568729
Cluster-10904.2,0.027544958
Cluster-10907.0,0.225448868
Cluster-10913.1,0.116489541
Cluster-11300.0,0.144735044
Cluster-11404.3,0.670241618
Cluster-11492.0,0.000341242
Cluster-12162.0,0.539988712
Cluster-12207.0,1.068494257
Cluster-12465.1,-0.002218788
Cluster-12481.0,NA
Cluster-12673.1,-0.000458766
Cluster-12706.0,0.797469841
Cluster-12890.0,0.023873538
Cluster-12913.0,0.177261002
Cluster-12913.1,0.000574831
Cluster-12926.2,-0.004179641
Cluster-12971.2,0.042341177
Cluster-13025.0,0.46895638
Cluster-13035.2,0.341167067
Cluster-13066.1,1.425156405
Cluster-13101.0,0.192675107
Cluster-13101.1,0.037300044
Cluster-13124.0,NA
Cluster-13131.0,0.380495687
Cluster-13131.1,0.345547881
Cluster-13194.0,0.401654944
Cluster-13370.0,0.201912208
Cluster-13435.0,0.164497563
Cluster-13450.0,0.000220391
Cluster-13546.3,0.00378448
Cluster-13576.3,0.001307314
Cluster-13576.4,0.045035761
Cluster-13583.0,1.368605607
Cluster-13704.0,0.305212067
Cluster-13716.0,0.062172286
Cluster-13775.4,0.360475094
Cluster-13912.0,0.460720109
Cluster-13930.0,-0.022501062
Cluster-14126.0,0.020783851
Cluster-14247.0,0.444388618
Cluster-14435.1,0.00285239
Cluster-14442.1,-0.004084143
Cluster-14455.1,0.082786566
Cluster-14493.1,1.440118607
Cluster-14519.1,0.79476152
Cluster-14523.0,0.159443845
Cluster-14546.1,0.011312999
Cluster-14593.3,-0.025557933
Cluster-14609.1,0.184603435
Cluster-14687.0,0.02915222
Cluster-14692.1,1.433668207
Cluster-14702.1,-0.006239101
Cluster-14778.0,0.33223897
Cluster-14817.0,0.355929197
Cluster-14996.1,0.006197842
Cluster-15020.0,0.626163566
Cluster-15117.0,0.009431494
Cluster-15176.0,0.480875835
Cluster-15186.1,0.332767327
Cluster-15270.2,NA
Cluster-15424.0,0.491387315
Cluster-15574.0,0.928724992
Cluster-15574.1,-0.00246576
Cluster-15574.2,0.305408642
Cluster-15578.0,2.294042737
Cluster-15681.0,-0.001695889
Cluster-15685.0,0.090155333
Cluster-15695.1,0.085231749
Cluster-15695.2,0.112927135
Cluster-15734.0,-0.002421838
Cluster-15759.0,0.001634991
Cluster-15853.0,0.000519363
Cluster-15929.1,0.297270408
Cluster-15980.1,0.894642896
Cluster-15984.1,0.63926428
Cluster-16001.0,0.076001212
Cluster-16040.1,1.357830767
Cluster-16046.1,0.016177077
Cluster-16051.1,0.191906593
Cluster-16082.2,4.173704009
Cluster-16082.4,0.001023206
Cluster-16089.0,0.05367667
Cluster-16129.0,0.043919622
Cluster-16150.2,2.744596891
Cluster-16162.1,0.139539646
Cluster-16195.0,0.017652461
Cluster-16253.1,0.656984414
Cluster-16257.1,-0.002742321
Cluster-16276.0,1.702226606
Cluster-16309.0,0.722641423
Cluster-16322.0,0.068097985
Cluster-16356.0,1.090174591
Cluster-16418.0,0.337273217
Cluster-16456.0,0.302125615
Cluster-16458.0,0.236797687
Cluster-16481.0,0.840341849
Cluster-16500.0,0.762369988
Cluster-16531.0,0.367773976
Cluster-16531.1,0.01302383
Cluster-16531.2,0.647941378
Cluster-16538.0,-0.009544197
Cluster-16547.0,0.220474412
Cluster-16577.0,0.430693267
Cluster-16597.1,0.606998857
Cluster-16696.0,0.014736827
Cluster-16700.1,0.130850214
Cluster-16797.1,0.006059173
Cluster-16892.2,0.055008926
Cluster-16906.0,-7.55E-05
Cluster-16968.0,0.054852437
Cluster-16981.3,0.464914381
Cluster-16981.4,5.260716477
Cluster-17022.0,0.016748934
Cluster-17088.1,0.032069904
Cluster-17149.0,-0.0008202
Cluster-17230.0,-0.00420281
Cluster-17258.0,0.41920613
Cluster-17271.0,0.142186938
Cluster-17397.0,-0.000109673
Cluster-17399.2,0.435701508
Cluster-17409.1,1.2175021
Cluster-17434.1,0.809918008
Cluster-17461.0,0.162886596
Cluster-17478.0,0.908770393
Cluster-17506.1,0.215668631
Cluster-17514.1,-0.002182275
Cluster-17577.0,0.312182038
Cluster-17595.0,0.084283198
Cluster-17622.0,0.968134271
Cluster-17660.0,0.298190132
Cluster-17664.0,0.018701543
Cluster-17675.0,0.300163842
Cluster-17700.0,0.45560982
Cluster-17872.0,1.047725645
Cluster-17908.1,0.02025277
