,stat
Cluster-93.0,0.112588575
Cluster-125.0,0.11211531
Cluster-281.0,0.112254816
Cluster-308.0,0.112090126
Cluster-404.1,0.112403709
Cluster-489.0,0.112437804
Cluster-533.0,0.111873342
Cluster-534.0,0.112063226
Cluster-632.1,0.111757267
Cluster-632.3,0.249758705
Cluster-2070.0,0.155939062
Cluster-2529.3,0.069073619
Cluster-2536.0,0.13887997
Cluster-2710.1,0.458413955
Cluster-2710.5,0.35589168
Cluster-2720.0,0.074394397
Cluster-2997.1,1.852430194
Cluster-3259.0,-0.612818919
Cluster-3259.2,-2.236115228
Cluster-3268.1,-0.644180591
Cluster-3435.0,0.072584597
Cluster-3988.0,-0.375855054
Cluster-4341.0,-0.066743204
Cluster-4373.0,-0.498960484
Cluster-4925.0,0.280908525
Cluster-5384.0,-0.151973899
Cluster-5401.0,-0.176254544
Cluster-5567.0,0.169609621
Cluster-5698.0,0.110553262
Cluster-5998.1,-0.028996677
Cluster-6121.0,-1.353574631
Cluster-6175.1,-0.244038786
Cluster-6510.0,-0.06673715
Cluster-6731.0,0.307206363
Cluster-6890.0,-0.754523366
Cluster-7915.0,-0.066741811
Cluster-8081.1,-0.005005054
Cluster-8127.0,0.020151203
Cluster-8170.2,1.674300152
Cluster-8579.0,-0.066745568
Cluster-8759.0,-0.037466759
Cluster-8951.0,0.200829843
Cluster-9282.0,-0.06674442
Cluster-9409.2,-1.430339307
Cluster-9449.0,0.028444449
Cluster-9608.0,-0.192515825
Cluster-10185.0,-0.274822602
Cluster-10501.0,0.122089873
Cluster-10726.1,0.249135096
Cluster-10737.0,0.150712514
Cluster-10842.0,0.217431599
Cluster-10892.0,0.441808203
Cluster-10903.0,-0.066750804
Cluster-10904.2,-0.90645716
Cluster-10907.0,0.09745105
Cluster-10913.1,0.003023628
Cluster-11300.0,0.567634269
Cluster-11404.3,2.385233879
Cluster-11492.0,0.118586715
Cluster-12162.0,-0.066757396
Cluster-12207.0,0.319756248
Cluster-12465.1,0.085532067
Cluster-12481.0,-0.066788671
Cluster-12673.1,1.175567094
Cluster-12706.0,0.286241492
Cluster-12890.0,0.02877023
Cluster-12913.0,-0.610306479
Cluster-12913.1,-0.48804253
Cluster-12926.2,0.113446011
Cluster-12971.2,0.66203381
Cluster-13025.0,-0.036374759
Cluster-13035.2,1.629225925
Cluster-13066.1,0.325902966
Cluster-13101.0,0.110768126
Cluster-13101.1,0.068057722
Cluster-13124.0,-0.066742832
Cluster-13131.0,1.260953133
Cluster-13131.1,1.009621337
Cluster-13194.0,0.228700972
Cluster-13370.0,0.172842195
