,stat
Cluster-93.0,NA
Cluster-125.0,NA
Cluster-281.0,NA
Cluster-308.0,NA
Cluster-404.1,NA
Cluster-489.0,NA
Cluster-533.0,-0.062774745
Cluster-534.0,NA
Cluster-632.1,NA
Cluster-632.3,0.102987988
Cluster-2070.0,-0.007298538
Cluster-2529.3,-0.2813745
Cluster-2536.0,-0.034094174
Cluster-2710.1,0.393798224
Cluster-2710.5,0.623039458
Cluster-2720.0,-0.117127592
Cluster-2997.1,1.54760966
Cluster-3259.0,-0.32923372
Cluster-3259.2,-1.836382011
Cluster-3268.1,-0.816289392
Cluster-3435.0,-0.115551272
Cluster-3988.0,-0.157678445
Cluster-4341.0,-0.062785354
Cluster-4373.0,-0.456945519
Cluster-4925.0,-0.062764014
Cluster-5384.0,-0.165531501
Cluster-5401.0,-0.164063032
Cluster-5567.0,0.143624445
Cluster-5698.0,-0.062769968
Cluster-5998.1,-0.062014324
Cluster-6121.0,-0.736762159
Cluster-6175.1,-0.334154085
Cluster-6510.0,-0.062778715
Cluster-6731.0,0.129040661
Cluster-6890.0,-0.74563867
Cluster-7915.0,-0.062783831
Cluster-8081.1,-0.002941575
Cluster-8127.0,0.03604166
Cluster-8170.2,1.625728191
Cluster-8579.0,-0.062787955
Cluster-8759.0,-0.062775194
Cluster-8951.0,-0.062782107
Cluster-9282.0,-0.062786696
Cluster-9409.2,-1.509541914
Cluster-9449.0,-0.062780383
Cluster-9608.0,-0.183185881
Cluster-10185.0,-0.328429167
Cluster-10501.0,0.070498049
Cluster-10726.1,0.102109621
Cluster-10737.0,-0.032022914
Cluster-10842.0,-0.062784369
Cluster-10892.0,0.263845854
Cluster-10903.0,-0.062793681
Cluster-10904.2,-0.726937804
Cluster-10907.0,-0.034152627
Cluster-10913.1,-0.03028194
Cluster-11300.0,0.714707102
Cluster-11404.3,1.974854447
Cluster-11492.0,-0.039797414
Cluster-12162.0,-0.062800859
Cluster-12207.0,0.117634885
Cluster-12465.1,0.103247971
Cluster-12481.0,-0.062835121
Cluster-12673.1,1.469394447
Cluster-12706.0,0.150206998
Cluster-12890.0,-0.062780792
Cluster-12913.0,-0.461380413
Cluster-12913.1,-1.155375252
Cluster-12926.2,-0.100370589
Cluster-12971.2,0.247173793
Cluster-13025.0,-0.061967088
Cluster-13035.2,1.15291463
Cluster-13066.1,-0.021792351
Cluster-13101.0,0.15367241
Cluster-13101.1,0.318127944
Cluster-13124.0,-0.062784937
Cluster-13131.0,0.94140266
Cluster-13131.1,0.217218114
Cluster-13194.0,0.10970218
Cluster-13370.0,0.224021115
Cluster-13435.0,-1.55836883
Cluster-13450.0,-0.0628728
Cluster-13546.3,0.537074824
Cluster-13576.3,-0.158976137
Cluster-13576.4,0.84365673
Cluster-13583.0,0.284666116
Cluster-13704.0,0.374699362
Cluster-13716.0,0.561695752
Cluster-13775.4,0.020284959
Cluster-13912.0,-0.435781953
Cluster-13930.0,0.594504859
Cluster-14126.0,0.102648359
Cluster-14247.0,0.111346175
Cluster-14435.1,-0.007201378
Cluster-14442.1,1.656886182
Cluster-14455.1,-0.271977276
Cluster-14493.1,0.331571449
Cluster-14519.1,-0.287870879
Cluster-14523.0,0.17212298
Cluster-14546.1,-0.250528274
Cluster-14593.3,-0.127195093
Cluster-14609.1,0.283342953
Cluster-14687.0,-0.032108972
Cluster-14692.1,-0.638363376
Cluster-14702.1,0.501357711
Cluster-14778.0,-0.062811419
Cluster-14817.0,0.305123066
Cluster-14996.1,-0.517383103
Cluster-15020.0,-0.648724455
Cluster-15117.0,0.327291409
Cluster-15176.0,-1.153809742
Cluster-15186.1,0.132805725
Cluster-15270.2,-0.062788193
Cluster-15424.0,0.640279276
Cluster-15574.0,-0.664304633
Cluster-15574.1,0.577538053
Cluster-15574.2,1.070669798
Cluster-15578.0,-0.106789946
Cluster-15681.0,-0.06195436
Cluster-15685.0,0.124604785
Cluster-15695.1,-0.587962265
Cluster-15695.2,0.237285381
Cluster-15734.0,0.040448614
Cluster-15759.0,-0.053525438
Cluster-15853.0,0.037331322
Cluster-15929.1,-0.064037285
Cluster-15980.1,-0.049583907
Cluster-15984.1,0.172049327
Cluster-16001.0,0.316404865
Cluster-16040.1,-0.367037347
Cluster-16046.1,0.918447796
Cluster-16051.1,0.465636676
Cluster-16082.2,0.189141973
Cluster-16082.4,0.435806317
Cluster-16089.0,-0.03309641
Cluster-16129.0,0.271405506
Cluster-16150.2,-0.370357854
Cluster-16162.1,-0.190813845
Cluster-16195.0,1.897733995
Cluster-16253.1,0.242838548
Cluster-16257.1,0.163006319
Cluster-16276.0,-1.274178996
Cluster-16309.0,0.193354973
Cluster-16322.0,-0.475209656
Cluster-16356.0,0.089087231
Cluster-16418.0,0.148644491
Cluster-16456.0,0.35639782
Cluster-16458.0,0.06332346
Cluster-16481.0,-0.062105123
Cluster-16500.0,0.212272088
Cluster-16531.0,0.57801571
Cluster-16531.1,0.797742822
Cluster-16531.2,-1.139778806
Cluster-16538.0,0.099139602
Cluster-16547.0,-0.34688407
Cluster-16577.0,0.142453461
Cluster-16597.1,-0.18271409
Cluster-16696.0,0.349208159
Cluster-16700.1,1.025692052
Cluster-16797.1,-0.09415969
Cluster-16892.2,0.4536378
Cluster-16906.0,-0.094412328
Cluster-16968.0,-0.601339135
Cluster-16981.3,1.381220666
Cluster-16981.4,0.021713462
Cluster-17022.0,-0.026696906
Cluster-17088.1,-0.175308588
Cluster-17149.0,0.820390338
Cluster-17230.0,0.618637515
Cluster-17258.0,1.705594072
Cluster-17271.0,0.196135922
Cluster-17397.0,0.223218168
Cluster-17399.2,-0.152826578
Cluster-17409.1,-0.999087701
Cluster-17434.1,0.781821971
Cluster-17461.0,-0.062856039
Cluster-17478.0,-0.062798147
Cluster-17506.1,-0.317580323
Cluster-17514.1,0.933643207
Cluster-17577.0,0.093144336
Cluster-17595.0,-0.02430866
