,stat
Cluster-93.0,0.050395201
Cluster-125.0,0.050104057
Cluster-281.0,0.05019022
Cluster-308.0,0.05008632
Cluster-404.1,0.050287272
Cluster-489.0,0.050414857
Cluster-533.0,0.049962753
Cluster-534.0,0.050068591
Cluster-632.1,0.049877306
Cluster-632.3,-0.004356453
Cluster-2070.0,0.013289722
Cluster-2529.3,-0.378468247
Cluster-2536.0,0.014676939
Cluster-2710.1,-0.023914819
Cluster-2710.5,-0.248953694
Cluster-2720.0,0.299289739
Cluster-2997.1,-0.133225195
Cluster-3259.0,0.649493493
Cluster-3259.2,-0.622404193
Cluster-3268.1,-0.010661592
Cluster-3435.0,0.06698816
Cluster-3988.0,0.143802527
Cluster-4341.0,-0.045712479
Cluster-4373.0,-0.175506495
Cluster-4925.0,4.806079425
Cluster-5384.0,-0.006255335
Cluster-5401.0,0.207351908
Cluster-5567.0,-0.054890036
Cluster-5698.0,0.047486696
Cluster-5998.1,0.131725712
Cluster-6121.0,0.282665134
Cluster-6175.1,-0.151395962
Cluster-6510.0,-0.079501501
Cluster-6731.0,-0.073024701
Cluster-6890.0,0.129484582
Cluster-7915.0,-0.045712449
Cluster-8081.1,-0.099504175
Cluster-8127.0,-0.088747014
Cluster-8170.2,-0.307236829
Cluster-8579.0,-0.045712545
Cluster-8759.0,0.18770047
Cluster-8951.0,0.239440827
Cluster-9282.0,-0.045712501
Cluster-9409.2,0.48569793
Cluster-9449.0,0.115050771
Cluster-9608.0,0.010378793
Cluster-10185.0,0.162181665
Cluster-10501.0,-0.152561551
Cluster-10726.1,-0.228362477
Cluster-10737.0,0.178551972
Cluster-10842.0,1.418071338
Cluster-10892.0,-1.947687119
Cluster-10903.0,-0.045713439
Cluster-10904.2,-0.420654155
Cluster-10907.0,0.270866784
Cluster-10913.1,0.401006904
Cluster-11300.0,-0.588028027
Cluster-11404.3,-1.43170904
Cluster-11492.0,2.923946734
Cluster-12162.0,-0.141279012
Cluster-12207.0,0.130165078
Cluster-12465.1,-0.067733624
