transcript	stat	collagen
Cluster-23742.1	0.999346513	1
Cluster-28588.0	-0.138350229	1
Cluster-28780.1	0.307554752	1
Cluster-28930.0	0.507653596	1
Cluster-33358.11803	-0.988243724	1
Cluster-33358.18067	-2.321800999	1
Cluster-33358.24797	-1.983968318	1
Cluster-33358.24798	-1.278996949	1
Cluster-33358.24799	-1.785136277	1
Cluster-33358.27165	0.518412807	1
Cluster-33358.29054	-1.18461164	1
Cluster-33358.30225	-0.166329128	1
Cluster-33358.31857	0.772784552	1
Cluster-33358.32177	0.677345494	1
Cluster-33358.38522	-2.704858626	1
Cluster-33358.38601	1.286168509	1
Cluster-33358.39085	0.128723241	1
Cluster-33358.39105	0.044378526	1
Cluster-33358.40184	-0.609299045	1
Cluster-33358.43401	-0.673053499	1
Cluster-33358.44298	-0.633167565	1
Cluster-33358.46085	-0.237568582	1
Cluster-33358.49161	-3.125179583	1
Cluster-33358.50264	0.554553309	1
Cluster-33358.52228	-1.899990491	1
Cluster-33358.52547	-2.584086745	1
Cluster-33358.53879	0.02176571	1
Cluster-33358.54670	-1.899915155	1
Cluster-33358.55444	-1.329642159	1
Cluster-33358.55962	-1.798004876	1
Cluster-33358.56133	-2.227553826	1
Cluster-33358.56143	0.091448193	1
Cluster-33358.57896	-1.855432923	1
Cluster-33358.59019	-1.416857552	1
Cluster-33358.59271	-2.379287411	1
Cluster-33358.59278	-2.05567307	1
Cluster-33358.60589	-0.545962372	1
Cluster-33358.60874	-2.487141405	1
Cluster-33358.61219	-0.723772534	1
Cluster-33358.63060	-1.986787095	1
Cluster-33358.63296	-2.283285719	1
Cluster-33358.67192	-2.96229779	1
Cluster-33358.67296	-0.761849672	1
Cluster-33358.67851	-1.068562515	1
Cluster-33358.68099	0.471808782	1
Cluster-33358.68281	-1.910144255	1
Cluster-35104.0	-0.557752718	1
Cluster-35645.0	-0.295833983	1
Cluster-40117.1	-0.090421371	1
Cluster-42097.0	-2.086722017	1
Cluster-45802.2	-0.183337785	1
Cluster-93.0	NA	0
Cluster-125.0	NA	0
Cluster-281.0	NA	0
Cluster-308.0	NA	0
Cluster-404.1	NA	0
Cluster-489.0	NA	0
Cluster-533.0	-0.062774745	0
Cluster-534.0	NA	0
Cluster-632.1	NA	0
Cluster-632.3	0.102987988	0
Cluster-2070.0	-0.007298538	0
Cluster-2529.3	-0.2813745	0
Cluster-2536.0	-0.034094174	0
Cluster-2710.1	0.393798224	0
Cluster-2710.5	0.623039458	0
Cluster-2720.0	-0.117127592	0
Cluster-2997.1	1.54760966	0
Cluster-3259.0	-0.32923372	0
Cluster-3259.2	-1.836382011	0
Cluster-3268.1	-0.816289392	0
Cluster-3435.0	-0.115551272	0
Cluster-3988.0	-0.157678445	0
Cluster-4341.0	-0.062785354	0
Cluster-4373.0	-0.456945519	0
Cluster-4925.0	-0.062764014	0
Cluster-5384.0	-0.165531501	0
Cluster-5401.0	-0.164063032	0
Cluster-5567.0	0.143624445	0
Cluster-5698.0	-0.062769968	0
Cluster-5998.1	-0.062014324	0
Cluster-6121.0	-0.736762159	0
Cluster-6175.1	-0.334154085	0
Cluster-6510.0	-0.062778715	0
Cluster-6731.0	0.129040661	0
Cluster-6890.0	-0.74563867	0
Cluster-7915.0	-0.062783831	0
Cluster-8081.1	-0.002941575	0
Cluster-8127.0	0.03604166	0
Cluster-8170.2	1.625728191	0
Cluster-8579.0	-0.062787955	0
Cluster-8759.0	-0.062775194	0
Cluster-8951.0	-0.062782107	0
Cluster-9282.0	-0.062786696	0
Cluster-9409.2	-1.509541914	0
Cluster-9449.0	-0.062780383	0
Cluster-9608.0	-0.183185881	0
Cluster-10185.0	-0.328429167	0
Cluster-10501.0	0.070498049	0
Cluster-10726.1	0.102109621	0
Cluster-10737.0	-0.032022914	0
Cluster-10842.0	-0.062784369	0
Cluster-10892.0	0.263845854	0
Cluster-10903.0	-0.062793681	0
Cluster-10904.2	-0.726937804	0
Cluster-10907.0	-0.034152627	0
Cluster-10913.1	-0.03028194	0
Cluster-11300.0	0.714707102	0
Cluster-11404.3	1.974854447	0
Cluster-11492.0	-0.039797414	0
Cluster-12162.0	-0.062800859	0
Cluster-12207.0	0.117634885	0
Cluster-12465.1	0.103247971	0
Cluster-12481.0	-0.062835121	0
Cluster-12673.1	1.469394447	0
Cluster-12706.0	0.150206998	0
Cluster-12890.0	-0.062780792	0
Cluster-12913.0	-0.461380413	0
Cluster-12913.1	-1.155375252	0
Cluster-12926.2	-0.100370589	0
Cluster-12971.2	0.247173793	0
Cluster-13025.0	-0.061967088	0
Cluster-13035.2	1.15291463	0
Cluster-13066.1	-0.021792351	0
Cluster-13101.0	0.15367241	0
Cluster-13101.1	0.318127944	0
Cluster-13124.0	-0.062784937	0
Cluster-13131.0	0.94140266	0
Cluster-13131.1	0.217218114	0
Cluster-13194.0	0.10970218	0
Cluster-13370.0	0.224021115	0
Cluster-13435.0	-1.55836883	0
Cluster-13450.0	-0.0628728	0
Cluster-13546.3	0.537074824	0
Cluster-13576.3	-0.158976137	0
Cluster-13576.4	0.84365673	0
Cluster-13583.0	0.284666116	0
Cluster-13704.0	0.374699362	0
Cluster-13716.0	0.561695752	0
Cluster-13775.4	0.020284959	0
Cluster-13912.0	-0.435781953	0
Cluster-13930.0	0.594504859	0
Cluster-14126.0	0.102648359	0
Cluster-14247.0	0.111346175	0
Cluster-14435.1	-0.007201378	0
Cluster-14442.1	1.656886182	0
Cluster-14455.1	-0.271977276	0
Cluster-14493.1	0.331571449	0
Cluster-14519.1	-0.287870879	0
Cluster-14523.0	0.17212298	0
Cluster-14546.1	-0.250528274	0
Cluster-14593.3	-0.127195093	0
Cluster-14609.1	0.283342953	0
Cluster-14687.0	-0.032108972	0
Cluster-14692.1	-0.638363376	0
Cluster-14702.1	0.501357711	0
Cluster-14778.0	-0.062811419	0
Cluster-14817.0	0.305123066	0
Cluster-14996.1	-0.517383103	0
Cluster-15020.0	-0.648724455	0
Cluster-15117.0	0.327291409	0
Cluster-15176.0	-1.153809742	0
Cluster-15186.1	0.132805725	0
Cluster-15270.2	-0.062788193	0
Cluster-15424.0	0.640279276	0
Cluster-15574.0	-0.664304633	0
Cluster-15574.1	0.577538053	0
Cluster-15574.2	1.070669798	0
Cluster-15578.0	-0.106789946	0
Cluster-15681.0	-0.06195436	0
Cluster-15685.0	0.124604785	0
Cluster-15695.1	-0.587962265	0
Cluster-15695.2	0.237285381	0
Cluster-15734.0	0.040448614	0
Cluster-15759.0	-0.053525438	0
Cluster-15853.0	0.037331322	0
Cluster-15929.1	-0.064037285	0
Cluster-15980.1	-0.049583907	0
Cluster-15984.1	0.172049327	0
Cluster-16001.0	0.316404865	0
Cluster-16040.1	-0.367037347	0
Cluster-16046.1	0.918447796	0
Cluster-16051.1	0.465636676	0
Cluster-16082.2	0.189141973	0
Cluster-16082.4	0.435806317	0
Cluster-16089.0	-0.03309641	0
Cluster-16129.0	0.271405506	0
Cluster-16150.2	-0.370357854	0
Cluster-16162.1	-0.190813845	0
Cluster-16195.0	1.897733995	0
Cluster-16253.1	0.242838548	0
Cluster-16257.1	0.163006319	0
Cluster-16276.0	-1.274178996	0
Cluster-16309.0	0.193354973	0
Cluster-16322.0	-0.475209656	0
Cluster-16356.0	0.089087231	0
Cluster-16418.0	0.148644491	0
Cluster-16456.0	0.35639782	0
Cluster-16458.0	0.06332346	0
Cluster-16481.0	-0.062105123	0
Cluster-16500.0	0.212272088	0
Cluster-16531.0	0.57801571	0
Cluster-16531.1	0.797742822	0
Cluster-16531.2	-1.139778806	0
Cluster-16538.0	0.099139602	0
Cluster-16547.0	-0.34688407	0
Cluster-16577.0	0.142453461	0
Cluster-16597.1	-0.18271409	0
Cluster-16696.0	0.349208159	0
Cluster-16700.1	1.025692052	0
Cluster-16797.1	-0.09415969	0
Cluster-16892.2	0.4536378	0
Cluster-16906.0	-0.094412328	0
Cluster-16968.0	-0.601339135	0
Cluster-16981.3	1.381220666	0
Cluster-16981.4	0.021713462	0
Cluster-17022.0	-0.026696906	0
Cluster-17088.1	-0.175308588	0
Cluster-17149.0	0.820390338	0
Cluster-17230.0	0.618637515	0
Cluster-17258.0	1.705594072	0
Cluster-17271.0	0.196135922	0
Cluster-17397.0	0.223218168	0
Cluster-17399.2	-0.152826578	0
Cluster-17409.1	-0.999087701	0
Cluster-17434.1	0.781821971	0
Cluster-17461.0	-0.062856039	0
Cluster-17478.0	-0.062798147	0
Cluster-17506.1	-0.317580323	0
Cluster-17514.1	0.933643207	0
Cluster-17577.0	0.093144336	0
Cluster-17595.0	-0.02430866	0
Cluster-17622.0	0.759128173	0
Cluster-17660.0	0.272244658	0
Cluster-17664.0	0.296067702	0
Cluster-17675.0	0.760433837	0
Cluster-17700.0	0.008222081	0
Cluster-17872.0	0.046492107	0
Cluster-17908.1	0.03297157	0
Cluster-18154.0	0.044563623	0
Cluster-18218.0	0.073909772	0
Cluster-18296.0	2.837959072	0
Cluster-18303.0	0.39625504	0
Cluster-18374.3	-1.867127218	0
Cluster-18384.0	0.0876596	0
Cluster-18402.0	0.291801365	0
Cluster-18471.0	0.51698703	0
Cluster-18471.1	0.919617048	0
Cluster-18475.1	0.073861841	0
Cluster-18478.0	-0.165248118	0
Cluster-18482.1	0.084185835	0
Cluster-18492.0	-0.203514444	0
Cluster-18514.0	0.13978105	0
Cluster-18517.0	0.029293897	0
Cluster-18519.0	0.140829743	0
Cluster-18587.0	0.48845844	0
Cluster-18600.1	0.55653198	0
Cluster-18620.1	0.358605726	0
Cluster-18637.0	0.543828394	0
Cluster-18661.0	-0.09090551	0
Cluster-18723.0	0.304292335	0
Cluster-18735.0	1.400938513	0
Cluster-18778.0	-0.024015583	0
Cluster-19023.0	1.685499995	0
Cluster-19082.0	-0.111900262	0
Cluster-19154.0	0.279338071	0
Cluster-19199.0	0.067244565	0
Cluster-19215.2	1.555925058	0
Cluster-19246.0	0.604632408	0
Cluster-19262.2	-0.024480434	0
Cluster-19305.0	-0.033180461	0
Cluster-19334.0	0.582085539	0
Cluster-19342.0	0.711641739	0
Cluster-19367.0	-0.062808548	0
Cluster-19394.0	-0.062804386	0
Cluster-19397.2	0.147425269	0
Cluster-19452.1	-0.225905442	0
Cluster-19467.0	-0.071713645	0
Cluster-19505.0	-0.635953107	0
Cluster-19521.0	-0.230715523	0
Cluster-19558.1	0.154918239	0
Cluster-19580.0	0.866725195	0
Cluster-19599.1	-0.223010984	0
Cluster-19622.0	-0.203913251	0
Cluster-19625.0	-0.538691397	0
Cluster-19639.0	-0.064625858	0
Cluster-19677.0	1.817238141	0
Cluster-19711.0	0.109882993	0
Cluster-19765.1	0.358397132	0
Cluster-19779.1	0.008353763	0
Cluster-19907.1	-0.800597489	0
Cluster-19915.0	-0.071575761	0
Cluster-19932.0	0.040738513	0
Cluster-19960.0	0.217670683	0
Cluster-19980.0	-0.041165174	0
Cluster-19998.0	-0.039971685	0
Cluster-20010.0	-0.04233363	0
Cluster-20016.0	-0.041643556	0
Cluster-20018.7	-0.838323483	0
Cluster-20018.8	-0.244490274	0
Cluster-20033.0	-0.083068622	0
Cluster-20036.0	0.17608321	0
Cluster-20042.1	-0.390621668	0
Cluster-20065.0	0.120678443	0
Cluster-20102.0	2.221173756	0
Cluster-20117.0	-0.070973503	0
Cluster-20141.0	-0.02759615	0
Cluster-20162.0	-0.925832345	0
Cluster-20178.0	-0.07183361	0
Cluster-20179.0	0.069128214	0
Cluster-20218.0	-0.45995649	0
Cluster-20251.1	0.280379042	0
Cluster-20252.0	-0.035833645	0
Cluster-20284.0	0.233576688	0
Cluster-20293.0	0.829829548	0
Cluster-20323.0	0.004478997	0
Cluster-20325.0	0.046690639	0
Cluster-20331.0	0.059269761	0
Cluster-20348.0	0.091952094	0
Cluster-20474.2	0.90515798	0
Cluster-20492.4	0.498786248	0
Cluster-20503.0	-0.108149611	0
Cluster-20504.2	0.463519362	0
Cluster-20522.0	0.319089839	0
Cluster-20530.0	-0.042464531	0
Cluster-20542.1	-0.524629348	0
Cluster-20564.1	0.145567323	0
Cluster-20589.2	0.709016042	0
Cluster-20613.0	2.103157068	0
Cluster-20613.1	-0.62266454	0
Cluster-20619.1	1.422437626	0
Cluster-20619.4	0.212835822	0
Cluster-20627.1	-0.25410242	0
Cluster-20632.1	0.118445787	0
Cluster-20635.1	0.035797247	0
Cluster-20688.0	0.987346589	0
Cluster-20695.0	-0.070960541	0
Cluster-20761.0	-0.071826131	0
Cluster-20780.0	-0.562077716	0
Cluster-20825.0	0.186214331	0
Cluster-20827.0	-0.205798044	0
Cluster-20841.0	0.26571073	0
Cluster-20882.0	-0.033206462	0
