transcript	stat	collagen
Cluster-23742.1	1.541593387	1
Cluster-28588.0	-0.417861477	1
Cluster-28780.1	-0.046952309	1
Cluster-28930.0	2.413772726	1
Cluster-33358.11803	-0.970800811	1
Cluster-33358.18067	-1.955143132	1
Cluster-33358.24797	-1.595243321	1
Cluster-33358.24798	-0.870114742	1
Cluster-33358.24799	-1.376888251	1
Cluster-33358.27165	0.518787052	1
Cluster-33358.29054	-0.857356499	1
Cluster-33358.30225	-0.007863963	1
Cluster-33358.31857	0.89191493	1
Cluster-33358.32177	0.361698453	1
Cluster-33358.38522	-2.615815427	1
Cluster-33358.38601	2.036413752	1
Cluster-33358.39085	-0.407173191	1
Cluster-33358.39105	0.605398604	1
Cluster-33358.40184	-0.854383378	1
Cluster-33358.43401	-0.861065266	1
Cluster-33358.44298	-0.899845737	1
Cluster-33358.46085	-0.409405039	1
Cluster-33358.49161	-0.953550386	1
Cluster-33358.50264	0.364204653	1
Cluster-33358.52228	-0.770696712	1
Cluster-33358.52547	-0.466893684	1
Cluster-33358.53879	1.642673775	1
Cluster-33358.54670	0.297031678	1
Cluster-33358.55444	-1.368557319	1
Cluster-33358.55962	-1.209361714	1
Cluster-33358.56133	-0.197292615	1
Cluster-33358.56143	-0.936167548	1
Cluster-33358.57896	-0.179425622	1
Cluster-33358.59019	-1.675341556	1
Cluster-33358.59271	-1.591832069	1
Cluster-33358.59278	-1.320823931	1
Cluster-33358.60589	-0.478081761	1
Cluster-33358.60874	-1.062478419	1
Cluster-33358.61219	0.117773879	1
Cluster-33358.63060	-0.206644813	1
Cluster-33358.63296	-0.937625574	1
Cluster-33358.67192	-2.082746027	1
Cluster-33358.67296	-0.500853423	1
Cluster-33358.67851	-1.572639587	1
Cluster-33358.68099	0.08672097	1
Cluster-33358.68281	-0.7657809	1
Cluster-35104.0	-0.76259034	1
Cluster-35645.0	0.138125148	1
Cluster-40117.1	0.045330575	1
Cluster-42097.0	-1.210372539	1
Cluster-45802.2	0.655349844	1
Cluster-93.0	0.082148241	0
Cluster-125.0	0.081797699	0
Cluster-281.0	0.081901865	0
Cluster-308.0	0.081776793	0
Cluster-404.1	0.082017561	0
Cluster-489.0	0.08217018	0
Cluster-533.0	0.08161691	0
Cluster-534.0	0.081755616	0
Cluster-632.1	0.081524218	0
Cluster-632.3	0.228525082	0
Cluster-2070.0	0.136020713	0
Cluster-2529.3	0.602354567	0
Cluster-2536.0	0.120332533	0
Cluster-2710.1	0.424235632	0
Cluster-2710.5	0.384509753	0
Cluster-2720.0	-0.089162409	0
Cluster-2997.1	1.701440512	0
Cluster-3259.0	-0.836331431	0
Cluster-3259.2	-1.692141123	0
Cluster-3268.1	-0.567345026	0
Cluster-3435.0	0.0372874	0
Cluster-3988.0	-0.13023701	0
Cluster-4341.0	-0.040387852	0
Cluster-4373.0	-0.41567559	0
Cluster-4925.0	-1.630032692	0
Cluster-5384.0	-0.134857449	0
Cluster-5401.0	-0.257565196	0
Cluster-5567.0	0.179514939	0
Cluster-5698.0	0.078632463	0
Cluster-5998.1	-0.078010049	0
Cluster-6121.0	-1.318224078	0
Cluster-6175.1	-0.183939921	0
Cluster-6510.0	-0.025380786	0
Cluster-6731.0	0.318229018	0
Cluster-6890.0	-0.637564149	0
Cluster-7915.0	-0.040386598	0
Cluster-8081.1	0.038074029	0
Cluster-8127.0	0.0591565	0
Cluster-8170.2	1.605955792	0
Cluster-8579.0	-0.040389974	0
Cluster-8759.0	-0.1209143	0
Cluster-8951.0	0.03960849	0
Cluster-9282.0	-0.04038895	0
Cluster-9409.2	-1.603238652	0
Cluster-9449.0	-0.032215109	0
Cluster-9608.0	-0.179642587	0
Cluster-10185.0	-0.301134349	0
Cluster-10501.0	0.19791724	0
Cluster-10726.1	0.300613914	0
Cluster-10737.0	0.032188271	0
Cluster-10842.0	1.543002728	0
Cluster-10892.0	3.807513564	0
Cluster-10903.0	-0.040394299	0
Cluster-10904.2	-0.693714022	0
Cluster-10907.0	-0.036581347	0
Cluster-10913.1	-0.283325971	0
