	stat	collagen
Cluster-33358.54670	-3.857614	1
Cluster-33358.56133	-3.400072	1
Cluster-33358.24798	-3.331958	1
Cluster-33358.53879	-3.136291	1
Cluster-33358.63060	-2.742446	1
Cluster-33358.52547	-2.558334	1
Cluster-33358.68281	-2.052278	1
Cluster-33358.56143	1.808115	1
Cluster-33358.52228	-1.496267	1
Cluster-33358.63296	-1.486953	1
Cluster-33358.18067	-1.427759	1
Cluster-33358.60874	-1.427479	1
Cluster-33358.24797	-1.386413	1
Cluster-33358.57896	-1.364154	1
Cluster-33358.49161	-1.334429	1
Cluster-23742.1	-1.290033642	1
Cluster-33358.46085	1.284166	1
Cluster-42097.0	-1.209715	1
Cluster-33358.38601	-0.8729421	1
Cluster-33358.43401	-0.8142875	1
Cluster-33358.67192	-0.7587469	1
Cluster-45802.2	-0.6943199	1
Cluster-35104.0	0.6561646	1
Cluster-33358.68099	0.6318791	1
Cluster-33358.38522	-0.5932779	1
Cluster-33358.24799	-0.5836829	1
Cluster-33358.67851	0.5733293	1
Cluster-33358.39105	-0.5573817	1
Cluster-33358.29054	0.5450985	1
Cluster-33358.44298	-0.5280344	1
Cluster-33358.55444	0.5289561	1
Cluster-33358.50264	0.5193558	1
Cluster-33358.59271	-0.4157383	1
Cluster-33358.11803	-0.3771869	1
Cluster-33358.61219	-0.3631003	1
Cluster-33358.60589	-0.2516372	1
Cluster-33358.59019	-0.2428862	1
Cluster-35645.0	-0.215128	1
Cluster-33358.27165	-0.1802019	1
Cluster-33358.59278	-0.1724068	1
Cluster-33358.55962	0.07085684	1
Cluster-33358.31857	0.03765781	1
Cluster-28588.0	0.371134411	1
Cluster-28780.1	0.64679559	1
Cluster-28930.0	-0.587847683	1
Cluster-33358.30225	0.3104118	1
Cluster-33358.32177	-0.2559869	1
Cluster-33358.39085	1.070666	1
Cluster-33358.40184	1.591981	1
Cluster-33358.67296	-0.2481413	1
Cluster-40117.1	-0.09821341	1
Cluster-33358.16841	-5.824303	0
Cluster-33358.25722	-5.408563	0
Cluster-33358.17396	-5.07584	0
Cluster-33358.11945	-4.77692	0
Cluster-33358.11978	-4.778269	0
Cluster-33358.25443	-4.797258	0
Cluster-33358.2107	-4.713723094	0
Cluster-33358.54274	-4.628612	0
Cluster-33358.51202	-4.554596	0
Cluster-33358.59395	-4.363025	0
Cluster-33358.42663	-4.324728	0
Cluster-33358.54898	-4.291798	0
Cluster-33358.52094	-4.273943	0
Cluster-33358.49015	-4.135157	0
Cluster-33358.28433	-4.093125	0
Cluster-33358.49883	-4.069749	0
Cluster-33358.16843	-4.006594	0
Cluster-33358.50249	3.986253	0
Cluster-33358.61767	-3.998421	0
Cluster-33358.54267	-3.935807	0
Cluster-40569.1	-3.919457	0
Cluster-33358.26295	-3.906631	0
Cluster-33358.53795	-3.874391	0
Cluster-33358.2916	-3.770580578	0
Cluster-13101.0	-3.736439241	0
Cluster-33358.14038	-3.72074	0
Cluster-33358.41504	-3.680774	0
Cluster-33358.40153	-3.65748	0
Cluster-33358.4081	-3.61533911	0
Cluster-33358.19597	-3.624319	0
Cluster-33358.58191	-3.625391	0
Cluster-33358.64417	3.620712	0
Cluster-33358.35688	-3.599886	0
Cluster-33358.47486	-3.589751	0
Cluster-33358.50289	-3.594549	0
Cluster-33358.59709	-3.579909	0
Cluster-33358.60004	3.562703	0
Cluster-33358.30036	-3.530602	0
Cluster-33358.25816	-3.515978	0
Cluster-33358.2706	-3.499660453	0
Cluster-33358.32340	-3.47209	0
Cluster-33358.59694	-3.477262	0
Cluster-33358.68722	-3.481432	0
Cluster-33358.26088	-3.444934	0
Cluster-33358.36193	-3.450253	0
Cluster-33358.40353	-3.434168	0
Cluster-33358.24290	-3.408145	0
Cluster-33358.46932	-3.421405	0
Cluster-33358.54885	-3.416107	0
Cluster-33358.7686	-3.408821381	0
Cluster-33358.42636	3.395266	0
Cluster-33358.15951	-3.389994	0
Cluster-33358.24892	-3.375325	0
Cluster-33358.19854	3.367366	0
Cluster-33358.28379	-3.329178	0
Cluster-33358.62909	-3.34876	0
Cluster-33358.63857	-3.340444	0
Cluster-33358.64317	3.342851	0
Cluster-37618.2	3.328018	0
Cluster-41516.0	3.352507	0
Cluster-33358.2031	-3.314875841	0
Cluster-33358.31501	-3.31491	0
Cluster-33358.35799	-3.315231	0
Cluster-33358.2915	-3.264950043	0
Cluster-33358.12604	-3.264447	0
Cluster-33358.21737	-3.266521	0
Cluster-33358.31210	-3.265492	0
Cluster-33358.35472	-3.266497	0
Cluster-33358.41453	-3.268865	0
Cluster-33358.42828	-3.299391	0
Cluster-33358.61022	3.272034	0
Cluster-33358.63935	-3.271028	0
Cluster-33358.65357	-3.287863	0
Cluster-33358.28181	-3.260586	0
Cluster-33358.48076	-3.241978	0
Cluster-33358.48836	-3.224155	0
Cluster-33358.7623	-3.201934965	0
Cluster-33358.11152	3.199206	0
Cluster-33358.28724	-3.205712	0
Cluster-33358.40403	-3.195488	0
Cluster-33358.63065	-3.192469	0
Cluster-33358.22963	-3.183461	0
Cluster-33358.36823	-3.181914	0
Cluster-33358.61248	-3.170675	0
Cluster-33358.20101	-3.163837	0
