transcript	stat	collagen
Cluster-23742.1	0.01060754	1
Cluster-28588.0	0.12922969	1
Cluster-28780.1	0.070432619	1
Cluster-28930.0	0.0924415	1
Cluster-33358.11803	0.038230175	1
Cluster-33358.18067	0.829243193	1
Cluster-33358.24797	0.415874981	1
Cluster-33358.24798	0.455917833	1
Cluster-33358.24799	0.04684053	1
Cluster-33358.27165	0.137093174	1
Cluster-33358.29054	0.02212565	1
Cluster-33358.30225	0.132087418	1
Cluster-33358.31857	0.002655031	1
Cluster-33358.32177	0.002435094	1
Cluster-33358.38522	0.105855433	1
Cluster-33358.38601	2.147544129	1
Cluster-33358.39085	1.664651231	1
Cluster-33358.39105	0.640514603	1
Cluster-33358.40184	0.558083884	1
Cluster-33358.43401	0.446219103	1
Cluster-33358.44298	0.39864265	1
Cluster-33358.46085	0.047861438	1
Cluster-33358.49161	0.001534667	1
Cluster-33358.50264	0.336033227	1
Cluster-33358.52228	0.387110408	1
Cluster-33358.52547	0.006118116	1
Cluster-33358.53879	1.081597436	1
Cluster-33358.54670	0.264876791	1
Cluster-33358.55444	0.594176833	1
Cluster-33358.55962	0.074239762	1
Cluster-33358.56133	0.046176187	1
Cluster-33358.56143	1.626351256	1
Cluster-33358.57896	0.007746948	1
Cluster-33358.59019	1.352832753	1
Cluster-33358.59271	0.241807625	1
Cluster-33358.59278	0.00995452	1
Cluster-33358.60589	3.145280103	1
Cluster-33358.60874	0.618856599	1
Cluster-33358.61219	1.25194714	1
Cluster-33358.63060	0.107158907	1
Cluster-33358.63296	0.003632498	1
Cluster-33358.67192	0.013042992	1
Cluster-33358.67296	1.220186918	1
Cluster-33358.67851	2.632064834	1
Cluster-33358.68099	0.661041566	1
Cluster-33358.68281	1.320251806	1
Cluster-35104.0	0.239990233	1
Cluster-35645.0	1.705302941	1
Cluster-40117.1	0.008884885	1
Cluster-42097.0	0.002569358	1
Cluster-45802.2	0.259345447	1
Cluster-93.0	NA	0
Cluster-125.0	NA	0
Cluster-281.0	NA	0
Cluster-308.0	NA	0
Cluster-404.1	NA	0
Cluster-489.0	NA	0
Cluster-533.0	0.147740579	0
Cluster-534.0	NA	0
Cluster-632.1	NA	0
Cluster-632.3	0.278034373	0
Cluster-2070.0	NA	0
Cluster-2529.3	0.006391787	0
Cluster-2536.0	NA	0
Cluster-2710.1	0.062313721	0
Cluster-2710.5	0.660262087	0
Cluster-2720.0	0.171448692	0
Cluster-2997.1	0.193297658	0
Cluster-3259.0	0.26203476	0
Cluster-3259.2	0.101748317	0
Cluster-3268.1	0.018275707	0
Cluster-3435.0	NA	0
Cluster-3988.0	0.895693666	0
Cluster-4341.0	0.464929358	0
Cluster-4373.0	1.146400048	0
Cluster-4925.0	0	0
Cluster-5384.0	NA	0
Cluster-5401.0	8.36E-05	0
Cluster-5567.0	0.021647503	0
Cluster-5698.0	NA	0
Cluster-5998.1	0.371678922	0
Cluster-6121.0	0.072880037	0
Cluster-6175.1	0.155078139	0
Cluster-6510.0	0.07285845	0
Cluster-6731.0	NA	0
Cluster-6890.0	NA	0
Cluster-7915.0	NA	0
Cluster-8081.1	1.686049175	0
Cluster-8127.0	0.048862156	0
Cluster-8170.2	0.307498807	0
Cluster-8579.0	NA	0
Cluster-8759.0	0.001125192	0
Cluster-8951.0	0.066270754	0
Cluster-9282.0	NA	0
Cluster-9409.2	1.561627911	0
Cluster-9449.0	NA	0
Cluster-9608.0	0.568531325	0
Cluster-10185.0	0.027362508	0
Cluster-10501.0	0.784436541	0
Cluster-10726.1	0.367552734	0
Cluster-10737.0	0.163453045	0
Cluster-10842.0	0.07285845	0
Cluster-10892.0	0.557475673	0
Cluster-10903.0	0.397568729	0
Cluster-10904.2	0.027544958	0
Cluster-10907.0	0.225448868	0
Cluster-10913.1	0.116489541	0
Cluster-11300.0	0.144735044	0
Cluster-11404.3	0.670241618	0
Cluster-11492.0	0.000341242	0
Cluster-12162.0	0.539988712	0
Cluster-12207.0	1.068494257	0
Cluster-12465.1	-0.002218788	0
Cluster-12481.0	NA	0
Cluster-12673.1	-0.000458766	0
Cluster-12706.0	0.797469841	0
Cluster-12890.0	0.023873538	0
Cluster-12913.0	0.177261002	0
Cluster-12913.1	0.000574831	0
Cluster-12926.2	-0.004179641	0
Cluster-12971.2	0.042341177	0
Cluster-13025.0	0.46895638	0
Cluster-13035.2	0.341167067	0
Cluster-13066.1	1.425156405	0
Cluster-13101.0	0.192675107	0
Cluster-13101.1	0.037300044	0
Cluster-13124.0	NA	0
Cluster-13131.0	0.380495687	0
Cluster-13131.1	0.345547881	0
Cluster-13194.0	0.401654944	0
Cluster-13370.0	0.201912208	0
Cluster-13435.0	0.164497563	0
Cluster-13450.0	0.000220391	0
Cluster-13546.3	0.00378448	0
Cluster-13576.3	0.001307314	0
Cluster-13576.4	0.045035761	0
Cluster-13583.0	1.368605607	0
Cluster-13704.0	0.305212067	0
Cluster-13716.0	0.062172286	0
Cluster-13775.4	0.360475094	0
Cluster-13912.0	0.460720109	0
Cluster-13930.0	-0.022501062	0
Cluster-14126.0	0.020783851	0
Cluster-14247.0	0.444388618	0
Cluster-14435.1	0.00285239	0
Cluster-14442.1	-0.004084143	0
